OPERATOR,total,damaged,damage_rate
SOUTHWEST AIRLINES,8012,269,0.033574638042935596
AMERICAN AIRLINES,4870,206,0.042299794661190965
BUSINESS,4827,997,0.2065465092189766
DELTA AIR LINES,3703,221,0.05968133945449636
UNITED AIRLINES,2287,111,0.048535198950590296
ENVOY AIR,2050,71,0.03463414634146342
FEDEX EXPRESS,1904,43,0.022584033613445378
SKYWEST AIRLINES,1730,75,0.04335260115606936
JETBLUE AIRWAYS,1207,78,0.06462303231151616
ALLEGIANT AIR,1085,56,0.05161290322580645
PSA AIRLINES,948,31,0.03270042194092827
REPUBLIC AIRLINES,905,58,0.06408839779005525
ALASKA AIRLINES,778,60,0.07712082262210797
SPIRIT AIRLINES,736,51,0.06929347826086957
UPS AIRLINES,725,30,0.041379310344827586
ENDEAVOR AIR,685,33,0.04817518248175182
FRONTIER AIRLINES,588,45,0.07653061224489796
PRIVATELY OWNED,396,131,0.33080808080808083
PIEDMONT AIRLINES,360,7,0.019444444444444445
HORIZON AIR,332,28,0.08433734939759036
HAWAIIAN AIR,309,6,0.019417475728155338
GOVERNMENT,236,38,0.16101694915254236
MESA AIRLINES,217,17,0.07834101382488479
COMMUTEAIR,208,16,0.07692307692307693
NETJETS,202,24,0.1188118811881188
AIR TRANSPORT INTL,197,5,0.025380710659898477
US COAST GUARD,164,6,0.036585365853658534
AIR WISCONSIN AIRLINES,149,10,0.06711409395973154
BREEZE AIRWAYS,146,7,0.04794520547945205
FLEXJET,145,12,0.08275862068965517
